video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"uq5LClQN3cE","안녕하세요 보겸입니다","2020-08-09T09:32:48Z","UCu9BCtGIEr73LXZsKmoujKw","보겸 BK","24","2020-08-12T00:00:00Z","보겸|bokyem","5947503","53326","105756","139946","https://i.ytimg.com/vi/uq5LClQN3cE/default.jpg","False","False",""
"I-ZbZCHsHD0","부락토스의 계획 [총몇명 프리퀄]","2020-08-12T09:00:08Z","UCRuSxVu4iqTK5kCh90ntAgA","총몇명","1","2020-08-12T00:00:00Z","총몇명|재밌는 만화|부락토스|루시퍼|총몇명 프리퀄|총몇명 스토리","963384","28244","494","3339","https://i.ytimg.com/vi/I-ZbZCHsHD0/default.jpg","False","False","오늘도 정말 감사드립니다!!총몇명 스튜디오 - 총몇명, 십제곱, 5G민, MOVE혁, 찐스톤, Jin, 정영준♬ BGMPrivate Reflection by Kevin MacLeodLink: https://filmmusic.io/song/4241-private-reflectionLicense: http://creativecommons.org/licenses/by/4.0/Cinema Blockbuster Trailer 3 by Sascha EndeLink: https://filmmusic.io/song/215-cinema-blockbuster-trailer-3License: http://creativecommons.org/licenses/by/4.0/The Crown by Alexander NakaradaLink: https://filmmusic.io/song/4907-the-crownLicense: http://creativecommons.org/licenses/by/4.0/"
"9d7jNUjBoss","평생 반성하면서 살겠습니다.","2020-08-10T09:54:13Z","UCMVC92EOs9yDJG5JS-CMesQ","양팡 YangPang","22","2020-08-12T00:00:00Z","양팡|양팡유튜브|팡튜브|가족시트콤|양팡가족|양팡가족시트콤|양팡언니|현실남매|현실자매|짬식이|브이로그|VLog|먹방|부산|부산유튜버|Hàn Quốc|Gia đình|Sitcom|Chương trình giải trí|Corea|Familia|Comedia|Entretenimiento|Korea|keluarga|sitkom|ragam hiburan","2950885","17974","68898","50688","https://i.ytimg.com/vi/9d7jNUjBoss/default.jpg","False","False",""
"3pI_L3-sMVg","안녕하세요 꽈뚜룹입니다.","2020-08-11T15:00:58Z","UCkQCwnkQfgSuPTTnw_Y7v7w","꽈뚜룹 Quaddurup","24","2020-08-12T00:00:00Z","꽈뚜룹|한국여행기|quaddurup|뚜룹이|korea|southkorea|vlog|유학|미국생활|플로리다|브이로그|페이크브이로그","1743374","36893","1798","8751","https://i.ytimg.com/vi/3pI_L3-sMVg/default.jpg","False","False","앞으로 좀 더 깔끔한 영상제작 약속 드리겠습니다.늘 감사드립니다"
"zrsBjYukE8s","박진영 (J.Y. Park) When We Disco (Duet with 선미) M/V","2020-08-11T09:00:13Z","UCaO6TYtlC8U5ttz62hTrZgg","JYP Entertainment","10","2020-08-12T00:00:00Z","JYP Entertainment|JYP|J.Y.Park|JYPark|박진영|선미|SUNMI|구준엽|DJ Koo|When We Disco|When We Disco (Duet with 선미)|듀엣|Duet","3433885","353337","9763","23405","https://i.ytimg.com/vi/zrsBjYukE8s/default.jpg","False","False","MelOn http://kko.to/TWyXd7zYjSpotify https://spoti.fi/2FelHKZiTunes/Apple Music https://apple.co/30OCCMvJ.Y. Park Official YouTube: http://www.youtube.com/c/JYParkJ.Y. Park Official Instagram : http://www.instagram.com/asiansoul_jyp/J.Y. Park Official Twitter : https://twitter.com/followjypJ.Y. Park Official Facebook: http://www.facebook.com/followjypJ.Y. Park Official TikTok : http://www.tiktok.com/@JYPark_officialJ.Y. Park Official Homepage: http://jyp.jype.comCopyrights 2020 ⓒ JYP Entertainment. All Rights Reserved."
"jbGRowa5tIk","ITZY “Not Shy” M/V TEASER","2020-08-11T15:00:13Z","UCaO6TYtlC8U5ttz62hTrZgg","JYP Entertainment","10","2020-08-12T00:00:00Z","JYP Entertainment|JYP|ITZY|있지|ITZY Video|ITZY Yeji|ITZY Lia|ITZY Ryujin|ITZY Chaeryeong|ITZY Yuna|있지 예지|있지 리아|있지 류진|있지 채령|있지 유나|예지|리아|류진|채령|유나|Yeji|Lia|Ryujin|Chaeryeong|Yuna|ITZY BEHIND|ITZY VIDEOS|ITZY DEBUT|있지 데뷔|not shy|ITZY not shy|ITZY TEASER|있지 티저|not shy 티저|있지 뮤비 티저|not shy 뮤비 티저|ITZY MV TEASER|ITZY MV|M/V|TEASER|있지 컴백|ITZY COMEBACK|not shy MV|낫샤이 뮤비|낫샤이|not shy opening trailer|opening trailer","6000070","714301","15176","31040","https://i.ytimg.com/vi/jbGRowa5tIk/default.jpg","False","False","ITZY Not Shy M/V[ITZY Official] https://www.youtube.com/c/ITZYhttps://www.instagram.com/itzy.all.in.us/http://www.twitter.com/ITZYOfficialhttp://www.facebook.com/OfficialITZYhttp://ITZY.jype.comhttp://fans.jype.com/ITZY#ITZY #NotShy #ITZY_NotShyCopyrights 2020 ⓒ JYP Entertainment. All Rights Reserved"
"X-TPQPEyRGo","흑인 마동석이 출근하는 마트를 털러온 강도들 에게 벌어진 일 ㅠㅠ","2020-08-10T09:37:33Z","UCpCiIDf9UrfRqte55FHWlYQ","드림텔러(DreamTeller)","1","2020-08-12T00:00:00Z","[None]","690331","6657","393","834","https://i.ytimg.com/vi/X-TPQPEyRGo/default.jpg","False","False","#마트습격사건 #영화소개 #영화 #추천영화"
"REUA4roJndU","진심으로 사과드립니다. 죄송합니다.","2020-08-11T14:00:01Z","UCwZTeeKyb1hT6sg8tfOaZiA","임다TV","24","2020-08-12T00:00:00Z","[None]","659743","13040","13337","18286","https://i.ytimg.com/vi/REUA4roJndU/default.jpg","False","False",""
"7FOi40uehC4","집에 혼자 있을 때 하는 짓ㅋㅋㅋㅋㅋㅋㅋ [밍꼬발랄]","2020-08-12T09:00:02Z","UCCJkwrmhIqWkSFV-sQol4Qw","밍꼬발랄Mingggo","23","2020-08-12T00:00:00Z","밍꼬발랄|밍꼬|꼬밍|발랄|모아보기|이어보기|정주행|꿀잼|꿀팁|유형|유형별|꼭있는유형|유형별공감|공감|소통|댓글요청|사건|사연|재연|연기|에피소드|이야기|상황극|공감상황극|학교공감|학생공감|친구공감|교실공감|형제공감|자매공감|아빠공감|엄마공감|가족공감|유형드라마|mingggo|story|episode|acting|type|interesting_story|funny_story|interesting_episode|funny_episode|type_drama|empathy|empathy_by_type|Must-have_type|school_empathy|student_empathy|friend_empathy|共感|类型|学校共感|学生共感|友達共感|Đồngcảm|kiểu|Đồngcảm_theoloại|Đồngcảm_của_trường|Đồngcảm_của_học_sinh|투니버스|투니버스밍꼬발랄|집에혼자있을때|집에혼자있을때하는짓|나는가수다|나는배우다|나는뷰티유튜버다","340149","13166","338","5697","https://i.ytimg.com/vi/7FOi40uehC4/default.jpg","False","False","다~해 본 사람 손!![밍꼬 배경화면]_https://grafolio.naver.com/mingggo[밍꼬 페이스북]_https://www.facebook.com/mingggggo[밍꼬 인스타그램]_https://www.instagram.com/mingggggo#나는뷰티유튜버다 #나는가수다 #나는배우다(BGM)✔️Track - Dj Quads - Punch✔️Soundcloud - https://soundcloud.com/djquadsSong : Ujabes - Like A Full MoonMusic provided by Ujabes of RAUMIOfficial Video Link: https://youtu.be/_L0cCCDct1sSong : 구재영_Morning자료출처 : https://gongu.copyright.or.krMusic promoted by DayDreamSound : https://youtu.be/boW2hiWjFmIRelax - PeyruisSoundcloud : https://soundcloud.com/peyruisMusic Playlist by http://reurl.kr/1992B2F2CWKevin MacLeod의 Impending Boom은(는) Creative Commons Attribution 라이선스(https://creativecommons.org/licenses/by/4.0/)에 따라 라이선스가 부여됩니다.출처: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100198아티스트: http://incompetech.com/"
"0dsnm3n6ZdM","정윤호가 무려 6시간 공들여 만든 세기의 발명품 [발명왕] Ep.1","2020-08-11T09:30:00Z","UC0SoPwEH3idvemSDvKaYgGA","달라스튜디오","23","2020-08-12T00:00:00Z","예능|달라스튜디오|DALLA|정윤호|발명왕|유노윤호|동방신기|TVXQ|신발|아이디어","351264","11125","103","2324","https://i.ytimg.com/vi/0dsnm3n6ZdM/default.jpg","False","False","되게 쓸모 없을 거 같은데 되게 쓸모 있을 거 같은 이 발명품은 뭐지?3:26 ㅅ..사...살려주세요...발명폭격기의 아이디어 대방출 예능 [발명왕]🔔 매주 화요일 오후 6시 30분🔔 구독+댓글+알림설정ㄱㄱ#발명왕 #InventionKing #달라스튜디오 #유노윤호 #정윤호 #TVXQ #발명 #특허 #아이디어"
